"ResourceType","QueryName","Query","Description","Severity","Threshold","EvaluationFrequency","WindowSize","FriendlyName"
"microsoft.compute/virtualmachines","HeartbeatMissing","Heartbeat | summarize LastHeartbeat = max(TimeGenerated) by Computer | where LastHeartbeat < ago(5m)","VM heartbeat missing for 5 minutes","1","5","PT5M","PT5M","vm"
"microsoft.compute/virtualmachines","ServiceStopped","Event | where EventLog == "System" and Source == "Service Control Manager" and RenderedDescription contains "stopped"" | where RenderedDescription contains ""critical""","Critical service stopped","0","1","PT5M","PT5M","vm"
"microsoft.storage/storageaccounts","HighLatency","StorageBlobLogs | where StatusCode == 200 | summarize AvgLatency = avg(DurationMs) by AccountName | where AvgLatency > 1000","Storage latency above 1 second","2","1000","PT5M","PT15M","storage"
"microsoft.storage/storageaccounts","HighErrorRate","StorageBlobLogs | where StatusCode >= 400 | summarize ErrorCount = count() by AccountName, bin(TimeGenerated, 5m) | where ErrorCount > 10","More than 10 errors in 5 minutes","1","10","PT5M","PT5M","storage"
"microsoft.storage/storageaccounts","UnauthorizedAccess","StorageBlobLogs | where StatusCode == 403 | summarize UnauthorizedCount = count() by AccountName, CallerIpAddress | where UnauthorizedCount > 5","More than 5 unauthorized access attempts","1","5","PT5M","PT15M","storage"
"microsoft.sql/servers/databases","DeadlockDetected","AzureDiagnostics | where ResourceProvider == "MICROSOFT.SQL" and Category == "Deadlocks" | summarize DeadlockCount = count() by Resource","Deadlock detected","1","1","PT5M","PT5M","sqldb"
"microsoft.sql/servers/databases","FailedConnections","AzureDiagnostics | where ResourceProvider == "MICROSOFT.SQL" and Category == "Errors" and error_number_d == 18456 | summarize FailedCount = count() by Resource | where FailedCount > 10","More than 10 failed login attempts","1","10","PT5M","PT15M","sqldb"
"microsoft.sql/servers/databases","LongRunningQueries","AzureDiagnostics | where ResourceProvider == "MICROSOFT.SQL" and Category == "QueryStoreRuntimeStatistics" and duration_d > 30000 | summarize LongQueryCount = count() by Resource","Queries running longer than 30 seconds","2","30000","PT5M","PT15M","sqldb"
"microsoft.web/sites","AppRestart","AzureDiagnostics | where ResourceProvider == "MICROSOFT.WEB" and Category == "AppServicePlatformLogs" and Message contains "restart" | summarize RestartCount = count() by Resource","Application restart detected","1","1","PT5M","PT5M","webapp"
"microsoft.containerservice/managedclusters","NodeNotReady","KubeNodeInventory | where Status != "Ready" | summarize NotReadyCount = count() by ClusterName, Computer | where NotReadyCount > 0","AKS node not ready","1","0","PT5M","PT5M","aks"
"microsoft.containerservice/managedclusters","PodCrashLoop","KubePodInventory | where PodStatus == "CrashLoopBackOff" | summarize CrashCount = count() by ClusterName, Namespace, Name","Pod in crash loop","1","1","PT5M","PT5M","aks"
"microsoft.network/applicationgateways","UnhealthyBackend","AzureDiagnostics | where ResourceProvider == "MICROSOFT.NETWORK" and Category == "ApplicationGatewayAccessLog" and httpStatus_d >= 500 | summarize ErrorCount = count() by Resource | where ErrorCount > 10","More than 10 backend errors","1","10","PT5M","PT5M","appgw"
